song,performer,track_duration_s,danceability,valence,date,rank,peak_rank,weeks_on_board,key_sign,energy,loudness,speechiness,acousticness,instrumentalness,liveness
'65 Love Affair,Paul Davis,219.813,0.647,0.952,20190605,9,6,15,D minor,0.686,-4.247,0.0274,0.432,6.19e-06,0.133
'til I Can Make It On My Own,Tammy Wynette,182.08,0.45,0.146,20190501,100,100,1,G major,0.294,-12.022,0.0318,0.832,3.53e-05,0.108
'Til My Baby Comes Home,Luther Vandross,332.226,0.804,0.802,20190316,90,90,1,B minor,0.714,-6.714,0.183,0.0567,6.21e-06,0.0253
'Til Summer Comes Around,Keith Urban,331.466,0.57,0.308,20200403,63,59,10,A minor,0.629,-7.608,0.0331,0.593,0.000136,0.77
'Til You Do Me Right,After 7,295.0,0.612,0.433,20191021,31,31,16,F major,0.542,-7.563,0.0264,0.0781,0.0,0.0763
'Til,The Angels,148.44,0.253,0.307,20191211,29,29,8,C major,0.232,-12.695,0.0318,0.805,0.00018,0.0939
'Tis The Damn Season,Taylor Swift,229.84,0.575,0.348,20200102,91,39,2,F major,0.434,-8.193,0.0312,0.735,6.59e-05,0.105
"""B"" Girls",Young And Restless,242.106,0.615,0.769,20190623,57,54,8,G major,0.497,-11.913,0.439,0.016,0.0,0.312
"""Cherry Cherry"" from Hot August Night",Neil Diamond,443.32,0.34,0.604,20190414,42,42,5,A major,0.948,-5.061,0.137,0.0941,0.000907,0.867
#1 Dee Jay,Goody Goody,206.106,0.859,0.902,20191216,99,82,5,G minor,0.376,-16.542,0.0439,0.0536,0.0963,0.0605
#1,Nelly,198.76,0.792,0.463,20201027,67,67,2,G major,0.6,-6.157,0.228,0.0236,0.0,0.419
#9 Dream,John Lennon,286.813,0.406,0.478,20190104,47,47,3,C major,0.597,-11.745,0.0336,0.0744,0.0133,0.254
#Beautiful,Mariah Carey Featuring Miguel,199.866,0.677,0.469,20200615,17,17,4,E major,0.749,-5.405,0.0391,0.346,0.0,0.347
#SELFIE,The Chainsmokers,183.75,0.807,0.651,20200426,33,16,7,C major,0.916,-3.282,0.226,0.0134,1.22e-05,0.0787
#thatPOWER,will.i.am Featuring Justin Bieber,279.506,0.797,0.403,20200615,21,17,11,F# minor,0.608,-6.096,0.0583,0.00112,7.66e-05,0.0748
$ave Dat Money,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,290.835,0.858,0.364,20200109,73,71,9,D major,0.697,-5.361,0.23,0.114,0.0,0.224
('til) I Kissed You,The Everly Brothers,146.066,0.518,0.701,20191123,45,4,15,A# minor,0.432,-11.689,0.0459,0.401,0.0,0.299
(All Of A Sudden) My Heart Sings,Mel Carter,164.066,0.418,0.504,20191030,75,75,1,G major,0.532,-7.866,0.0354,0.461,2.99e-06,0.83
(All of a Sudden) My Heart Sings,Paul Anka,184.2,0.307,0.39,20190202,15,15,7,E major,0.267,-11.898,0.0327,0.809,0.0,0.269
(Any Way That You Want It) I'll Be There,Starz,204.76,0.454,0.596,20190401,79,79,4,G major,0.834,-4.753,0.0305,0.00248,2.73e-05,0.311
(Baby) Hully Gully,The Olympics,127.829,0.744,0.908,20190201,98,98,1,G major,0.47,-10.295,0.035,0.659,0.0,0.256
(Believed You Were) Lucky,'Til Tuesday,216.973,0.612,0.495,20190121,98,98,1,F major,0.523,-11.425,0.0321,0.448,1.59e-06,0.0727
(Between A) Rock And A Hard Place,Cutting Crew,227.96,0.615,0.585,20190610,84,77,5,F minor,0.845,-9.943,0.0393,0.0928,2.77e-05,0.0755
(Bringing Out) The Girl In Me,Maxine Nightingale,210.973,0.712,0.953,20191201,73,73,5,A major,0.753,-7.666,0.0399,0.756,1.58e-06,0.169
(Call Me Your) Anything Man,Bobby Moore,374.491,0.624,0.76,20190816,99,99,2,D# minor,0.604,-12.401,0.0459,0.0474,0.00159,0.263
(Can't Live Without Your) Love And Affection,Nelson,236.435,0.543,0.855,20191215,87,1,24,C# major,0.902,-6.344,0.0393,0.0354,0.0,0.0609
(Closest Thing To) Perfect,Jermaine Jackson,230.693,0.661,0.905,20190713,81,67,6,F# minor,0.763,-12.204,0.0326,0.0205,0.000307,0.382
(Come 'round Here) I'm The One You Need,The Miracles,150.066,0.545,0.767,20191112,73,73,2,C major,0.607,-9.525,0.0347,0.242,0.0,0.779
(Dance The) Mess Around,Chubby Checker,141.666,0.544,0.746,20190529,46,24,6,C# minor,0.725,-7.054,0.0759,0.0605,0.0,0.112
(Do The New) Continental,The Dovells,157.333,0.682,0.942,20190224,52,52,5,G# major,0.784,-5.905,0.0471,0.177,0.0,0.196
(Do You) Wanna Ride,Reel Tight,213.213,0.757,0.878,20191128,80,80,1,F# major,0.659,-5.525,0.0701,0.185,0.0,0.0674
(Don't Fear) The Reaper,Blue Oyster Cult,308.12,0.333,0.382,20191030,14,14,14,A minor,0.927,-8.55,0.0733,0.0029,0.000211,0.297
(Don't Worry) If There's A Hell Below We're All Going To Go,Curtis Mayfield,470.506,0.686,0.686,20190116,29,29,9,C# minor,0.755,-8.304,0.0488,0.149,0.063,0.111
(everybody Wanna Get Rich) Rite Away,Dr. John,163.933,0.746,0.971,20190601,96,92,4,A major,0.916,-10.061,0.0772,0.518,0.0686,0.0785
(Everything I Do) I Do It For You,Bryan Adams,394.133,0.519,0.298,20190914,3,1,12,C# major,0.372,-12.635,0.0284,0.0816,4.67e-05,0.0652
(For God's Sake) Give More Power To The People,The Chi-lites,180.133,0.665,0.899,20190424,65,65,3,F# major,0.552,-10.177,0.0307,0.493,0.0272,0.421
(Forever) Live And Die,Orchestral Manoeuvres In The Dark,218.133,0.605,0.865,20190117,96,19,17,C major,0.545,-13.603,0.0297,0.0902,0.244,0.149
(Ghost) Riders In The Sky,Outlaws,351.4,0.228,0.146,20190207,44,44,7,A minor,0.896,-7.241,0.13,0.0132,0.0273,0.795
(Ghost) Riders In The Sky,Outlaws,351.4,0.228,0.146,20190207,44,44,7,A minor,0.717,-9.943,0.0395,0.518,0.262,0.184
"(Girls, Girls, Girls) Made To Love",Eddie Hodges,150.666,0.61,0.519,20190721,19,19,5,A major,0.377,-9.805,0.0935,0.414,0.0,0.0734
(He's My) Dreamboat,Connie Francis,162.106,0.373,0.451,20191023,19,19,5,C major,0.364,-6.563,0.0305,0.78,2.24e-06,0.342
(He's) Raining In My Sunshine,Jay & The Americans,195.733,0.478,0.376,20191210,91,91,3,D major,0.298,-13.842,0.0342,0.74,1.11e-05,0.139
(He's) The Great Impostor,The Fleetwoods,132.101,0.499,0.539,20191016,30,30,6,F major,0.249,-11.793,0.0422,0.733,0.0,0.105
(Here They Come) From All Over The World,Jan & Dean,164.6,0.461,0.957,20190403,56,56,4,C major,0.68,-10.699,0.0446,0.621,7.74e-06,0.906
(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B.J. Thomas,206.066,0.637,0.702,20190201,99,99,1,E major,0.528,-11.287,0.0328,0.744,0.0,0.114
(How To Be A) Millionaire,ABC,215.733,0.718,0.832,20190215,39,39,5,D major,0.755,-9.683,0.0534,0.281,1.18e-05,0.0614
(I'll Be With You In) Apple Blossom Time,Tab Hunter,130.759,0.585,0.627,20190202,76,76,1,G# major,0.45,-9.468,0.0357,0.856,4.92e-06,0.0777
(I'm A) Road Runner,Jr. Walker & The All Stars,165.946,0.755,0.851,20190528,24,24,8,F major,0.695,-6.56,0.0281,0.0533,0.0,0.295
(I'm Just A) Fool For You,Gene Chandler,160.853,0.564,0.911,20190326,88,88,2,D major,0.623,-9.553,0.0319,0.288,1.31e-05,0.0947
(I'm Not Your) Steppin' Stone,The Monkees,146.533,0.537,0.324,20191217,77,77,1,F major,0.677,-4.437,0.0301,0.0151,0.000199,0.0981
(I'm So) Afraid Of Losing You Again,Charley Pride,173.32,0.525,0.495,20191213,86,74,6,E major,0.354,-12.332,0.0344,0.466,3.86e-05,0.246
(i've Been) Searchin' So Long,Chicago,268.426,0.194,0.164,20190608,23,9,13,C major,0.591,-6.181,0.0318,0.118,6.43e-05,0.2
(I've Got) Bonnie,Bobby Rydell,147.0,0.329,0.698,20190428,53,18,11,D major,0.398,-7.385,0.0286,0.77,0.0,0.242
(I've Got) Spring Fever,Little Willie John,131.533,0.699,0.73,20190515,78,78,1,C major,0.373,-12.653,0.0813,0.801,0.518,0.0764
(I've Had) The Time Of My Life,Bill Medley & Jennifer Warnes,289.066,0.7,0.385,20190130,56,1,19,F# minor,0.781,-8.255,0.0507,0.0874,0.00342,0.059
(I've Had) The Time Of My Life,Bill Medley & Jennifer Warnes,289.066,0.7,0.385,20190130,56,1,19,F# minor,0.77,-5.996,0.0472,0.0765,0.0,0.0879
(I Can't Get No) Satisfaction,The Rolling Stones,222.813,0.725,0.904,20190904,31,1,13,D major,0.853,-7.842,0.0353,0.0348,0.127,0.196
(I Can't Help You) I'm Falling Too,Skeeter Davis,165.266,0.617,0.384,20190912,41,39,4,A major,0.197,-12.145,0.0267,0.777,0.0,0.133
(I Can Feel Those Vibrations) This Love Is Real,Jackie Wilson,175.146,0.63,0.736,20190123,63,63,6,D major,0.8,-6.002,0.15,0.429,0.0,0.3
(I Can Feel Your Love) Slipping Away,Barbara Mason,199.626,0.44,0.335,20190914,97,97,1,C major,0.427,-5.455,0.0254,0.563,0.0,0.295
(I Could Only) Whisper Your Name,"Harry Connick, Jr.",289.97,0.682,0.844,20191105,74,74,3,F minor,0.572,-7.067,0.045,0.191,0.204,0.0504
(I Cried at) Laura's Wedding,Barbara Lynn,158.213,0.579,0.194,20190817,92,92,2,G major,0.299,-8.729,0.0304,0.84,4.71e-05,0.117
(I Do The) Shimmy Shimmy,Bobby Freeman,157.466,0.508,0.891,20191003,37,37,8,D major,0.857,-5.498,0.04,0.74,0.0,0.365
(I Don't Care) Only Love Me,Steve Lawrence,153.6,0.56,0.825,20190518,92,92,1,F minor,0.516,-12.275,0.183,0.468,0.000107,0.173
(I Hate) Everything About You,Three Days Grace,231.48,0.498,0.453,20201129,75,75,1,F# minor,0.83,-5.157,0.0421,0.00461,0.0,0.139
(I Just) Died In Your Arms,Cutting Crew,278.626,0.632,0.499,20190321,37,37,3,B minor,0.727,-11.209,0.0438,0.0119,7.64e-05,0.0678
(I Know I Got) Skillz,Shaquille O'Neal,263.053,0.801,0.637,20190115,37,35,13,G major,0.875,-9.705,0.0995,0.00366,0.425,0.182
(I Know) I'm Losing You,Rare Earth,215.986,0.38,0.79,20190919,14,14,8,F# major,0.532,-14.477,0.0434,0.537,4.62e-05,0.321
(I Know) I'm Losing You,Rare Earth,215.986,0.38,0.79,20190919,14,14,8,F# major,0.503,-11.89,0.0282,0.5,0.0,0.0465
(I Never Promised You A) Rose Garden,Martina McBride,195.573,0.577,0.78,20201210,100,98,2,D major,0.728,-6.944,0.0478,0.503,0.0,0.133
(I Remember) Summer Morning,Vanity Fare,178.418,0.528,0.337,20190829,98,98,1,E minor,0.341,-12.768,0.03,0.922,0.0,0.135
(I Wanna) Dance With The Teacher,The Olympics,107.317,0.567,0.829,20190119,91,71,5,E major,0.458,-15.353,0.0623,0.428,0.0412,0.356
(I Wanna) Love My Life Away,Gene Pitney,114.906,0.548,0.924,20190206,62,62,2,C major,0.694,-9.356,0.0359,0.811,5.38e-05,0.596
(I Wanna) Testify,The Parliaments,183.693,0.668,0.754,20190902,20,20,10,A# major,0.702,-5.75,0.033,0.336,0.0,0.0521
(I was) Born To Cry,Dion,147.56,0.396,0.607,20190505,58,58,3,G minor,0.568,-11.25,0.0639,0.322,0.0,0.181
(If Loving You Is Wrong) I Don't Want To Be Right,Barbara Mandrell,185.013,0.628,0.704,20190407,63,63,4,E minor,0.536,-10.905,0.0324,0.038,1.23e-05,0.115
(If Loving You Is Wrong) I Don't Want To Be Right,Barbara Mandrell,185.013,0.628,0.704,20190407,63,63,4,E minor,0.451,-7.423,0.0438,0.283,0.0,0.154
(If There Was) Any Other Way,Celine Dion,240.093,0.671,0.904,20190608,41,35,10,G minor,0.784,-8.672,0.0322,0.239,3.6e-06,0.139
(If You're Wondering If I Want You To) I Want You To,Weezer,208.773,0.704,0.8,20200912,82,82,1,B minor,0.869,-5.708,0.0442,0.00219,0.000117,0.127
(if You Add) All The Love In The World,Mac Davis,213.106,0.371,0.359,20190412,69,69,2,A# major,0.433,-10.908,0.0343,0.66,1.33e-05,0.103
"(If You Cry) True Love, True Love",The Drifters,141.426,0.511,0.196,20190111,68,33,11,C major,0.236,-14.496,0.043,0.67,0.0,0.0953
(If You Let Me Make Love To You Then) Why Can't I Touch You?,Ronnie Dyson,203.746,0.398,0.65,20190822,12,12,10,C major,0.692,-8.596,0.045,0.496,0.0,0.394
(If You Want It) Do It Yourself,Gloria Gaynor,170.866,0.686,0.729,20191101,98,98,2,F# minor,0.895,-6.731,0.126,0.144,1.18e-05,0.197
(It's No) Sin,The Duprees featuring Joey Vann,162.533,0.353,0.492,20190201,82,82,2,G major,0.377,-9.358,0.0294,0.859,7.52e-05,0.068
(It's The Way) Nature Planned It,Four Tops,227.386,0.577,0.721,20191007,54,54,5,C# major,0.604,-8.412,0.0337,0.539,0.00418,0.0794
(It Never Happens) In Real Life,Chuck Jackson,165.44,0.696,0.849,20190424,63,63,3,D# major,0.459,-8.464,0.0303,0.691,0.0331,0.138
(It) Feels So Good,Steven Tyler,211.293,0.738,0.899,20200611,91,35,3,F# minor,0.952,-3.386,0.0515,0.0631,0.0,0.216
(Just Like) Romeo & Juliet,The Reflections,127.893,0.773,0.976,20190523,7,7,7,D# major,0.863,-9.321,0.0356,0.205,0.586,0.188
(Just Like) Romeo And Juliet,Sha Na Na,136.24,0.749,0.979,20190621,64,55,10,D# major,0.738,-11.538,0.0388,0.168,4.6e-06,0.113
(Just Like) Starting Over,John Lennon,236.546,0.701,0.421,20191227,1,1,9,A major,0.79,-6.16,0.0725,0.301,6.06e-05,0.179
(Keep Feeling) Fascination,The Human League,224.733,0.711,0.674,20190702,32,32,6,C major,0.609,-9.042,0.0764,0.381,1.24e-06,0.204
(Kissed You) Good Night,Gloriana,232.903,0.523,0.294,20200818,34,34,18,B major,0.747,-6.125,0.0292,0.0807,0.0,0.11
(Last Night) I Didn't Get To Sleep At All,The 5th Dimension,192.6,0.663,0.551,20190408,64,64,2,F minor,0.58,-10.144,0.0269,0.453,0.00124,0.0963
(Lay Your Head On My) Pillow,Tony Toni Tone,372.026,0.708,0.514,20190115,93,93,1,F# minor,0.482,-8.962,0.04,0.061,1.08e-06,0.0689
(Loneliness Made Me Realize) It's You That I Need,The Temptations,158.733,0.555,0.965,20191209,35,14,9,C major,0.37,-12.075,0.0311,0.559,0.0,0.253
(Love Is Like A) Baseball Game,The Intruders,165.92,0.654,0.849,20190727,57,57,4,C major,0.539,-7.825,0.0274,0.748,0.0,0.168
(Love Is) Thicker Than Water,Andy Gibb,255.96,0.586,0.551,20190429,27,1,26,F# minor,0.463,-9.929,0.0252,0.129,7.08e-05,0.0757
(Love Me) Love The Life I Lead,The Fantastics,186.521,0.356,0.784,20190304,87,87,3,A major,0.549,-12.198,0.0574,0.35,0.0,0.0583
(Marie's The Name) His Latest Flame,Elvis Presley,127.093,0.661,0.893,20191106,57,4,11,E minor,0.917,-6.329,0.0375,0.568,0.00202,0.134
(New In) The Ways Of Love,Tommy Edwards,159.64,0.386,0.508,20190111,51,47,9,G minor,0.322,-13.018,0.032,0.715,0.0,0.0544
(Now You See Me) Now You Don't,Lee Ann Womack,159.6,0.626,0.663,20190904,75,75,5,D major,0.808,-6.027,0.0613,0.178,0.0,0.342
(Oh Lord Won't You Buy Me A) Mercedes Benz,Goose Creek Symphony,196.333,0.486,0.926,20190325,68,64,9,E major,0.41,-14.328,0.0457,0.744,0.00106,0.0775
(oh) Pretty Woman,Van Halen,172.67,0.441,0.5,20190220,62,62,3,C# minor,0.97,-2.1,0.0708,0.192,1.68e-06,0.312
(Open Up The Door) Let The Good Times In,Dean Martin,198.6,0.443,0.636,20190107,63,63,4,C# major,0.618,-12.153,0.0846,0.77,2.88e-06,0.47
(Our Love) Don't Throw It All Away,Andy Gibb,250.2,0.349,0.228,20191209,10,10,9,F major,0.344,-13.206,0.0526,0.359,0.000129,0.603
(Pride) In The Name Of Love,U2,228.426,0.464,0.75,20190112,54,33,12,E major,0.839,-7.106,0.0329,0.0016,0.000326,0.601
(Reach Up For The) Sunrise,Duran Duran,334.586,0.465,0.38,20201127,96,89,4,C major,0.978,-4.071,0.129,0.00137,0.000525,0.972
(Remember Me) I'm The One Who Loves You,Dean Martin,145.32,0.475,0.59,20190626,36,32,6,C# major,0.507,-13.103,0.0372,0.646,1.03e-05,0.24
(Remember The Days Of The) Old Schoolyard,Cat Stevens,164.826,0.648,0.61,20190723,40,40,5,A# major,0.581,-8.684,0.0495,0.485,0.0,0.565
(Say) You're My Girl,Roy Orbison,165.426,0.424,0.85,20190710,86,86,1,C major,0.657,-5.801,0.0289,0.727,0.000162,0.153
"(Shake, Shake, Shake) Shake Your Booty",KC And The Sunshine Band,186.906,0.649,0.961,20191023,7,1,16,A# minor,0.825,-12.243,0.0335,0.00606,0.154,0.104
(She's Got) Skillz,All-4-One,245.066,0.942,0.958,20190408,63,57,14,G# minor,0.595,-9.781,0.0458,0.152,0.000142,0.0861
(She's Just A) Fallen Angel,Starz,212.813,0.423,0.387,20191225,98,98,1,C# major,0.908,-3.467,0.0823,0.00152,0.000222,0.112
(she's) Sexy + 17,Stray Cats,194.066,0.525,0.75,20191029,22,5,13,A major,0.931,-5.593,0.0583,0.00831,0.0,0.106
(Sittin' On) The Dock Of The Bay,King Curtis & The Kingpins,161.573,0.729,0.65,20190406,84,84,5,D major,0.125,-21.263,0.0318,0.266,0.662,0.101
(Sittin' On) The Dock Of The Bay,King Curtis & The Kingpins,161.573,0.729,0.65,20190406,84,84,5,D major,0.525,-13.806,0.0566,0.192,7.23e-06,0.268
(Sittin' On) The Dock Of The Bay,King Curtis & The Kingpins,161.573,0.729,0.65,20190406,84,84,5,D major,0.367,-11.226,0.0312,0.684,1.62e-05,0.081
(Sittin' On) The Dock Of The Bay,King Curtis & The Kingpins,161.573,0.729,0.65,20190406,84,84,5,D major,0.52,-10.262,0.0292,0.0981,0.0,0.104
(Sittin' On) The Dock Of The Bay,King Curtis & The Kingpins,161.573,0.729,0.65,20190406,84,84,5,D major,0.336,-13.925,0.0357,0.828,1.1e-05,0.114
(Sittin' On) The Dock Of The Bay,King Curtis & The Kingpins,161.573,0.729,0.65,20190406,84,84,5,D major,0.585,-6.739,0.03,0.0582,0.00285,0.104
(Sweet Sweet Baby) Since You've Been Gone,Aretha Franklin,145.264,0.708,0.94,20190323,8,8,4,D# major,0.67,-8.142,0.029,0.471,0.0314,0.0631
(That's) What The Nitty Gritty Is,Shirley Ellis,154.76,0.6,0.824,20190321,72,72,5,C# major,0.912,-4.781,0.181,0.133,0.0,0.48
(The Bees Are For The Birds) The Birds Are For The Bees,The Newbeats,133.706,0.483,0.913,20190403,74,74,1,F# major,0.478,-13.621,0.0789,0.749,0.0,0.258
(The Best Part Of) Breakin' Up,The Ronettes,184.346,0.49,0.546,20190425,57,57,4,D major,0.729,-9.046,0.0481,0.403,0.00259,0.124
(The Lament Of The Cherokee) Indian Reservation,Don Fardon,201.2,0.805,0.519,20190907,61,61,2,A# major,0.473,-12.999,0.0507,0.24,0.00516,0.177
(The Lights Went Out In) Massachusetts,Bee Gees,176.32,0.404,0.381,20191202,20,20,4,D major,0.498,-8.227,0.0278,0.149,0.00068,0.551
(The Man Who Shot) Liberty Valance,Gene Pitney,178.44,0.602,0.837,20190505,78,78,2,C# minor,0.591,-8.684,0.053,0.739,0.0,0.175
(The Puppet Song) Whiskey On A Sunday,The Irish Rovers,160.8,0.692,0.557,20190622,90,90,1,E major,0.447,-10.839,0.0323,0.587,0.0,0.109
(The System Of) Doctor Tarr And Professor Fether,The Alan Parsons Project,260.852,0.502,0.653,20190918,37,37,9,A# major,0.699,-7.691,0.0301,0.313,0.0,0.151
