,performer,song_performer,song,track_duration_s,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,rank,last_week,peak_rank,weeks_on_board,key_signature,year,top_hit_pos
0,Andy Williams,......And Roses And Roses | Andy Williams,......And Roses And Roses,166.106,0.154,0.185,F,-14.063,major,0.0315,0.911,0.000267,0.112,0.15,83.969,4.0,43,36.0,36,7,F major,1965,0.0
1,Britney Spears,...Baby One More Time | Britney Spears,...Baby One More Time,211.066,0.759,0.699,C,-5.745,minor,0.0307,0.202,0.000131,0.443,0.907,92.96,4.0,49,46.0,1,32,C minor,1999,1.0
2,Paul Davis,'65 Love Affair | Paul Davis,'65 Love Affair,219.813,0.647,0.686,D,-4.247,minor,0.0274,0.432,6.19e-06,0.133,0.952,155.697,4.0,100,95.0,6,20,D minor,1982,0.0
3,Tammy Wynette,'til I Can Make It On My Own | Tammy Wynette,'til I Can Make It On My Own,182.08,0.45,0.294,G,-12.022,major,0.0318,0.832,3.53e-05,0.108,0.146,141.148,4.0,84,84.0,84,5,G major,1976,0.0
4,Luther Vandross,'Til My Baby Comes Home | Luther Vandross,'Til My Baby Comes Home,332.226,0.804,0.714,B,-6.714,minor,0.183,0.0567,6.21e-06,0.0253,0.802,139.663,4.0,99,84.0,29,16,B minor,1985,0.0
5,The Angels,'Til | The Angels,'Til,148.44,0.253,0.232,C,-12.695,major,0.0318,0.805,0.00018,0.0939,0.307,173.819,3.0,60,38.0,14,14,C major,1962,0.0
6,Young And Restless,"""B"" Girls | Young And Restless","""B"" Girls",242.106,0.615,0.497,G,-11.913,major,0.439,0.016,0.0,0.312,0.769,193.762,3.0,91,83.0,54,15,G major,1990,0.0
7,The Everly Brothers,('til) I Kissed You | The Everly Brothers,('til) I Kissed You,146.066,0.518,0.432,A#,-11.689,minor,0.0459,0.401,0.0,0.299,0.701,139.567,4.0,80,45.0,4,16,A# minor,1959,0.0
8,Paul Anka,(All of a Sudden) My Heart Sings | Paul Anka,(All of a Sudden) My Heart Sings,184.2,0.307,0.267,E,-11.898,major,0.0327,0.809,0.0,0.269,0.39,111.322,3.0,74,65.0,15,17,E major,1959,0.0
9,The Olympics,(Baby) Hully Gully | The Olympics,(Baby) Hully Gully,127.829,0.744,0.47,G,-10.295,major,0.035,0.659,0.0,0.256,0.908,116.233,4.0,98,86.0,72,6,G major,1960,0.0
10,'Til Tuesday,(Believed You Were) Lucky | 'Til Tuesday,(Believed You Were) Lucky,216.973,0.612,0.523,F,-11.425,major,0.0321,0.448,1.59e-06,0.0727,0.495,124.315,4.0,95,95.0,95,3,F major,1989,0.0
11,Bobby Moore,(Call Me Your) Anything Man | Bobby Moore,(Call Me Your) Anything Man,374.491,0.624,0.604,D#,-12.401,minor,0.0459,0.0474,0.00159,0.263,0.76,91.554,4.0,99,99.0,99,2,D# minor,1975,0.0
12,Jermaine Jackson,(Closest Thing To) Perfect | Jermaine Jackson,(Closest Thing To) Perfect,230.693,0.661,0.763,F#,-12.204,minor,0.0326,0.0205,0.000307,0.382,0.905,149.974,4.0,95,81.0,67,7,F# minor,1985,0.0
13,Chubby Checker,(Dance The) Mess Around | Chubby Checker,(Dance The) Mess Around,141.666,0.544,0.725,C#,-7.054,minor,0.0759,0.0605,0.0,0.112,0.746,141.831,4.0,66,46.0,24,7,C# minor,1961,0.0
